date,event_type
12/25/16,Christmas Day
12/26/16,Christmas Day (Observed)
1/1/17,New Year's Day
1/2/17,New Year's Day (Observed)
1/16/17,"Martin Luther King, Jr. Day"
2/20/17,Washington's Birthday
5/29/17,Memorial Day
7/4/17,Independence Day
9/4/17,Labor Day
10/9/17,Columbus Day
11/10/17,Veterans Day (Observed)
11/11/17,Veterans Day
11/23/17,Thanksgiving
11/24/17,Black Friday
12/25/17,Christmas Day
1/1/18,New Year's Day
1/15/18,"Martin Luther King, Jr. Day"
2/19/18,Washington's Birthday
5/28/18,Memorial Day
7/4/18,Independence Day
9/3/18,Labor Day
10/8/18,Columbus Day
11/11/18,Veterans Day
11/12/18,Veterans Day (Observed)
11/22/18,Thanksgiving
11/23/18,Black Friday
12/25/18,Christmas Day
1/1/19,New Year's Day
1/21/19,"Martin Luther King, Jr. Day"
2/18/19,Washington's Birthday
5/27/19,Memorial Day
7/4/19,Independence Day
9/2/19,Labor Day
10/14/19,Columbus Day
11/11/19,Veterans Day
11/28/19,Thanksgiving
11/29/19,Black Friday
12/25/19,Christmas Day
1/1/20,New Year's Day
1/20/20,"Martin Luther King, Jr. Day"
2/17/20,Washington's Birthday
5/25/20,Memorial Day
7/3/20,Independence Day (Observed)
7/4/20,Independence Day
9/7/20,Labor Day
10/12/20,Columbus Day
11/11/20,Veterans Day
11/26/20,Thanksgiving
11/27/20,Black Friday
12/25/20,Christmas Day
1/1/21,New Year's Day
1/18/21,"Martin Luther King, Jr. Day"
2/15/21,Washington's Birthday
5/31/21,Memorial Day
7/4/21,Independence Day
7/5/21,Independence Day (Observed)
9/6/21,Labor Day
10/11/21,Columbus Day
11/11/21,Veterans Day
11/25/21,Thanksgiving
11/26/21,Black Friday
12/24/21,Christmas Day (Observed)
12/25/21,Christmas Day
12/31/21,New Year's Day (Observed)
1/1/22,New Year's Day
1/17/22,"Martin Luther King, Jr. Day"
2/21/22,Washington's Birthday
5/30/22,Memorial Day
7/4/22,Independence Day
9/5/22,Labor Day
10/10/22,Columbus Day
11/11/22,Veterans Day
11/24/22,Thanksgiving
11/25/22,Black Friday